WORD,MPQA,OPENER,OL,VADER
loyal,1.0,1.0,1.0,0.525
loyalism,0.25,0.25,0.25,0.25
loyalisms,0.225,0.225,0.225,0.225
loyalist,0.375,0.375,0.375,0.375
loyalists,0.275,0.275,0.275,0.275
loyally,0.525,0.525,0.525,0.525
loyalties,0.475,0.475,0.475,0.475
loyalty,1.0,1.0,1.0,0.625
lts,0.4,0.4,0.4,0.4
lucid,1.0,1.0,1.0,1.0
lucidly,1.0,1.0,1.0,1.0
luck,1.0,1.0,1.0,0.5
lucked,0.475,0.475,0.475,0.475
luckie,0.4,0.4,0.4,0.4
luckier,1.0,1.0,1.0,0.475
luckiest,1.0,1.0,1.0,0.725
luckily,1.0,1.0,0.8583333333333334,0.575
luckiness,1.0,1.0,1.0,0.25
lucking,0.3,0.3,0.3,0.3
luckless,-0.325,-0.325,-0.325,-0.325
lucks,0.4,0.4,0.4,0.4
lucky,1.0,1.0,1.0,0.45
lucrative,1.0,1.0,1.0,1.0
ludicrous,-1.0,-1.0,-1.0,-0.375
ludicrously,-1.0,-1.0,-1.0,-0.05
ludicrousness,-0.475,-0.475,-0.475,-0.475
lugubrious,-1.0,-1.0,-1.0,-0.525
lukewarm,-1.0,-1.0,-1.0,-1.0
lull,-1.0,-1.0,-1.0,-1.0
lulz,0.5,0.5,0.5,0.5
luminous,1.0,1.0,1.0,1.0
lumpy,-1.0,-1.0,-1.0,-1.0
lunatic,-1.0,-1.0,-1.0,-0.55
lunaticism,-1.0,-1.0,-1.0,-1.0
lunatics,-0.4,-0.4,-0.4,-0.4
lurch,-1.0,-1.0,-1.0,-1.0
lure,-1.0,-1.0,-1.0,-1.0
lurid,-1.0,-1.0,-1.0,-1.0
lurk,-1.0,-1.0,-1.0,-0.2
lurking,-1.0,-1.0,-1.0,-0.125
lurks,-0.225,-0.225,-0.225,-0.225
lush,1.0,1.0,1.0,1.0
lust,0.0,0.0,0.0,0.0
luster,1.0,1.0,1.0,1.0
lustrous,1.0,1.0,1.0,1.0
luxuriant,1.0,1.0,1.0,1.0
luxuriate,1.0,1.0,1.0,1.0
luxurious,1.0,1.0,1.0,1.0
luxuriously,1.0,1.0,1.0,1.0
luxury,1.0,1.0,1.0,1.0
ly,0.65,0.65,0.65,0.65
ly4e,0.675,0.675,0.675,0.675
lya,0.825,0.825,0.825,0.825
lyb,0.75,0.75,0.75,0.75
lying,-1.0,-1.0,-1.0,-0.6
lyl,0.775,0.775,0.775,0.775
lylab,0.675,0.675,0.675,0.675
lylas,0.65,0.65,0.65,0.65
lylb,0.4,0.4,0.4,0.4
lyrical,1.0,1.0,1.0,1.0
m8,0.35,0.35,0.35,0.35
macabre,-1.0,-1.0,-1.0,-1.0
mad,-1.0,-1.0,-1.0,-0.55
madden,-1.0,-1.0,-1.0,-1.0
maddening,-1.0,-1.0,-1.0,-0.55
maddeningly,-1.0,-1.0,-1.0,-1.0
madder,-1.0,-1.0,-1.0,-0.3
maddest,-0.7,-0.7,-0.7,-0.7
madly,-1.0,-1.0,-1.0,-0.425
madman,-1.0,-1.0,-1.0,-1.0
madness,-1.0,-1.0,-1.0,-0.475
magic,1.0,1.0,1.0,1.0
magical,1.0,1.0,1.0,1.0
magnanimous,1.0,1.0,1.0,1.0
magnanimously,1.0,1.0,1.0,1.0
magnetic,1.0,1.0,1.0,1.0
magnific,0.575,0.575,0.575,0.575
magnifical,0.6,0.6,0.6,0.6
magnifically,0.6,0.6,0.6,0.6
magnification,0.25,0.25,0.25,0.25
magnifications,0.3,0.3,0.3,0.3
magnificence,1.0,1.0,1.0,0.6
magnificences,0.575,0.575,0.575,0.575
magnificent,1.0,1.0,1.0,0.725
magnificently,1.0,1.0,1.0,0.85
magnifico,0.45,0.45,0.45,0.45
magnificoes,0.35,0.35,0.35,0.35
magnify,1.0,1.0,1.0,1.0
majestic,1.0,1.0,1.0,1.0
majesty,1.0,1.0,1.0,1.0
major,0.0,0.0,0.0,0.0
maladjusted,-1.0,-1.0,-1.0,-1.0
maladjustment,-1.0,-1.0,-1.0,-1.0
malady,-1.0,-1.0,-1.0,-1.0
malaise,-1.0,-1.0,-1.0,-1.0
malcontent,-1.0,-1.0,-1.0,-1.0
malcontented,-1.0,-1.0,-1.0,-1.0
maledict,-1.0,-1.0,-1.0,-1.0
malevolence,-1.0,-1.0,-1.0,-1.0
malevolent,-1.0,-1.0,-1.0,-1.0
malevolently,-1.0,-1.0,-1.0,-1.0
malice,-1.0,-1.0,-1.0,-1.0
malicious,-1.0,-1.0,-1.0,-1.0
maliciously,-1.0,-1.0,-1.0,-1.0
maliciousness,-1.0,-1.0,-1.0,-1.0
malign,-1.0,-1.0,-1.0,-1.0
malignant,-1.0,-1.0,-1.0,-1.0
malodorous,-1.0,-1.0,-1.0,-1.0
maltreatment,-1.0,-1.0,-1.0,-1.0
manageable,1.0,1.0,1.0,1.0
mandatory,0.075,0.075,0.075,0.075
maneuver,-1.0,-1.0,-1.0,-1.0
maneuverable,1.0,1.0,1.0,1.0
mangle,-1.0,-1.0,-1.0,-1.0
mangled,-1.0,-1.0,-1.0,-1.0
mangles,-1.0,-1.0,-1.0,-1.0
mangling,-1.0,-1.0,-1.0,-1.0
mania,-1.0,-1.0,-1.0,-1.0
maniac,-1.0,-1.0,-1.0,-0.525
maniacal,-1.0,-1.0,-1.0,-0.075
maniacally,-0.425,-0.425,-0.425,-0.425
maniacs,-0.3,-0.3,-0.3,-0.3
manic,-1.0,-1.0,-1.0,-1.0
manifest,1.0,1.0,1.0,1.0
manipulate,-1.0,-1.0,-1.0,-1.0
manipulated,-0.4,-0.4,-0.4,-0.4
manipulating,-0.375,-0.375,-0.375,-0.375
manipulation,-1.0,-1.0,-1.0,-0.3
manipulative,-1.0,-1.0,-1.0,-1.0
manipulators,-1.0,-1.0,-1.0,-1.0
manly,1.0,1.0,1.0,1.0
mannerly,1.0,1.0,1.0,1.0
mantra,0.0,0.0,0.0,0.0
mar,-1.0,-1.0,-1.0,-1.0
marginal,-1.0,-1.0,-1.0,-1.0
marginally,-1.0,-1.0,-1.0,-1.0
martyrdom,-1.0,-1.0,-1.0,-1.0
martyrdom-seeking,-1.0,-1.0,-1.0,-1.0
marvel,1.0,1.0,1.0,0.45
marveled,1.0,1.0,1.0,1.0
marvelled,1.0,1.0,1.0,1.0
marvellous,1.0,1.0,1.0,1.0
marvelous,1.0,1.0,1.0,0.725
marvelously,1.0,1.0,1.0,1.0
marvelousness,1.0,1.0,1.0,1.0
marvels,1.0,1.0,1.0,0.5
mashed,-1.0,-1.0,-1.0,-1.0
masochism,-0.4,-0.4,-0.4,-0.4
masochisms,-0.275,-0.275,-0.275,-0.275
masochist,-0.425,-0.425,-0.425,-0.425
masochistic,-0.55,-0.55,-0.55,-0.55
masochistically,-0.4,-0.4,-0.4,-0.4
masochists,-0.3,-0.3,-0.3,-0.3
massacre,-1.0,-1.0,-1.0,-1.0
massacres,-1.0,-1.0,-1.0,-1.0
massive,0.0,0.0,0.0,0.0
master,1.0,1.0,1.0,1.0
masterful,1.0,1.0,1.0,1.0
masterfully,1.0,1.0,1.0,1.0
masterpiece,1.0,1.0,1.0,0.775
masterpieces,1.0,1.0,1.0,0.625
masters,1.0,1.0,1.0,1.0
mastery,1.0,1.0,1.0,1.0
matchless,1.0,1.0,1.0,1.0
matte,-1.0,-1.0,-1.0,-1.0
matter,0.0,0.0,0.008333333333333333,0.025
matters,0.025,0.025,0.025,0.025
mature,1.0,1.0,1.0,0.45
maturely,1.0,1.0,1.0,1.0
maturity,1.0,1.0,1.0,1.0
maverick,-1.0,-1.0,-1.0,-1.0
mawkish,-1.0,-1.0,-1.0,-1.0
mawkishly,-1.0,-1.0,-1.0,-1.0
mawkishness,-1.0,-1.0,-1.0,-1.0
maxi-devaluation,-1.0,-1.0,-1.0,-1.0
maximize,1.0,1.0,1.0,1.0
maybe,0.0,0.0,0.0,0.0
meager,-1.0,-1.0,-1.0,-1.0
mean,-0.5,-0.5,-0.5,-0.5
meaningful,1.0,1.0,1.0,0.325
meaningless,-1.0,-1.0,-1.0,-0.475
meanness,-1.0,-1.0,-1.0,-1.0
measly,-1.0,-1.0,-1.0,-1.0
medal,0.525,0.525,0.525,0.525
meddle,-1.0,-1.0,-1.0,-1.0
meddlesome,-1.0,-1.0,-1.0,-1.0
mediocre,-1.0,-1.0,-1.0,-1.0
mediocrity,-1.0,-1.0,-1.0,-0.075
meditative,0.35,0.35,0.35,0.35
meek,1.0,1.0,1.0,1.0
meh,-0.075,-0.075,-0.075,-0.075
melancholia,-0.125,-0.125,-0.125,-0.125
melancholiac,-0.5,-0.5,-0.5,-0.5
melancholias,-0.4,-0.4,-0.4,-0.4
melancholic,-0.075,-0.075,-0.075,-0.075
melancholics,-0.25,-0.25,-0.25,-0.25
melancholies,-0.275,-0.275,-0.275,-0.275
melancholy,-1.0,-1.0,-1.0,-0.475
mellow,1.0,1.0,1.0,1.0
melodramatic,-1.0,-1.0,-1.0,-1.0
melodramatically,-1.0,-1.0,-1.0,-1.0
meltdown,-1.0,-1.0,-1.0,-1.0
memorable,1.0,1.0,1.0,1.0
memorialize,1.0,1.0,1.0,1.0
memories,0.0,0.0,0.0,0.0
menace,-1.0,-1.0,-1.0,-0.55
menaced,-0.425,-0.425,-0.425,-0.425
menacing,-1.0,-1.0,-1.0,-1.0
menacingly,-1.0,-1.0,-1.0,-1.0
mend,1.0,1.0,1.0,1.0
mendacious,-1.0,-1.0,-1.0,-1.0
mendacity,-1.0,-1.0,-1.0,-1.0
menial,-1.0,-1.0,-1.0,-1.0
mentality,0.0,0.0,0.0,0.0
mentor,1.0,1.0,1.0,1.0
merciful,1.0,1.0,1.0,1.0
mercifully,1.0,1.0,1.0,1.0
merciless,-1.0,-1.0,-1.0,-1.0
mercilessly,-1.0,-1.0,-1.0,-1.0
mercy,1.0,1.0,1.0,0.375
mere,-1.0,-1.0,-1.0,-1.0
merely,-1.0,-1.0,-1.0,-1.0
merit,1.0,1.0,1.0,0.45
merited,0.35,0.35,0.35,0.35
meriting,0.275,0.275,0.275,0.275
meritocracy,0.15,0.15,0.15,0.15
meritocrat,0.1,0.1,0.1,0.1
meritocrats,0.275,0.275,0.275,0.275
meritorious,1.0,1.0,1.0,0.525
meritoriously,0.325,0.325,0.325,0.325
meritoriousness,0.425,0.425,0.425,0.425
merits,0.425,0.425,0.425,0.425
merrier,0.425,0.425,0.425,0.425
merriest,0.675,0.675,0.675,0.675
merrily,1.0,1.0,1.0,0.6
merriment,1.0,1.0,1.0,0.6
merriments,0.5,0.5,0.5,0.5
merriness,1.0,1.0,1.0,0.55
merry,1.0,1.0,1.0,0.625
merrymaker,0.55,0.55,0.55,0.55
merrymakers,0.425,0.425,0.425,0.425
merrymaking,0.55,0.55,0.55,0.55
merrymakings,0.6,0.6,0.6,0.6
merrythought,0.275,0.275,0.275,0.275
merrythoughts,0.4,0.4,0.4,0.4
mesmerize,1.0,1.0,1.0,1.0
mesmerized,1.0,1.0,1.0,1.0
mesmerizes,1.0,1.0,1.0,1.0
mesmerizing,1.0,1.0,1.0,1.0
mesmerizingly,1.0,1.0,1.0,1.0
mess,-1.0,-1.0,-1.0,-0.375
messed,-0.675,-0.675,-1.0,-0.35
messes,-1.0,-1.0,-1.0,-1.0
messing,-1.0,-1.0,-1.0,-1.0
messy,-1.0,-1.0,-1.0,-0.375
metaphorize,0.0,0.0,0.0,0.0
methodical,0.15,0.15,0.15,0.15
meticulous,1.0,1.0,1.0,1.0
meticulously,1.0,1.0,1.0,1.0
mia,-0.3,-0.3,-0.3,-0.3
midget,-1.0,-1.0,-1.0,-1.0
miff,-1.0,-1.0,-1.0,-1.0
might,0.5,0.5,0.5,0.5
mightily,1.0,1.0,1.0,1.0
mighty,1.0,1.0,1.0,1.0
mild,1.0,1.0,1.0,1.0
militancy,-1.0,-1.0,-1.0,-1.0
mind,-1.0,-1.0,-1.0,-1.0
mind-blowing,1.0,1.0,1.0,1.0
mindful,1.0,1.0,1.0,1.0
mindless,-1.0,-1.0,-1.0,-0.475
mindlessly,-1.0,-1.0,-1.0,-1.0
minister,1.0,1.0,1.0,1.0
minor,0.0,0.0,0.0,0.0
miracle,1.0,1.0,1.0,0.7
miracles,1.0,1.0,1.0,1.0
miraculous,1.0,1.0,1.0,1.0
miraculously,1.0,1.0,1.0,1.0
miraculousness,1.0,1.0,1.0,1.0
mirage,-1.0,-1.0,-1.0,-1.0
mire,-1.0,-1.0,-1.0,-1.0
mirth,1.0,1.0,0.8833333333333333,0.65
mirthful,0.675,0.675,0.675,0.675
mirthfully,0.5,0.5,0.5,0.5
misalign,-1.0,-1.0,-1.0,-1.0
misaligned,-1.0,-1.0,-1.0,-1.0
misaligns,-1.0,-1.0,-1.0,-1.0
misapprehend,-1.0,-1.0,-1.0,-1.0
misbecome,-1.0,-1.0,-1.0,-1.0
misbecoming,-1.0,-1.0,-1.0,-1.0
misbegotten,-1.0,-1.0,-1.0,-1.0
misbehave,-1.0,-1.0,-1.0,-0.475
misbehaved,-0.4,-0.4,-0.4,-0.4
misbehaves,-0.4,-0.4,-0.4,-0.4
misbehaving,-0.425,-0.425,-0.425,-0.425
misbehavior,-1.0,-1.0,-1.0,-1.0
miscalculate,-1.0,-1.0,-1.0,-1.0
miscalculation,-1.0,-1.0,-1.0,-1.0
miscellaneous,-1.0,-1.0,-1.0,-1.0
mischief,-1.0,-1.0,-1.0,-0.375
mischiefs,-0.2,-0.2,-0.2,-0.2
mischievous,-1.0,-1.0,-1.0,-1.0
mischievously,-1.0,-1.0,-1.0,-1.0
misconception,-1.0,-1.0,-1.0,-1.0
misconceptions,-1.0,-1.0,-1.0,-1.0
miscreant,-1.0,-1.0,-1.0,-1.0
miscreants,-1.0,-1.0,-1.0,-1.0
misdirection,-1.0,-1.0,-1.0,-1.0
miser,-1.0,-1.0,-1.0,-0.45
miserable,-1.0,-1.0,-1.0,-0.55
miserableness,-1.0,-1.0,-1.0,-0.7
miserably,-1.0,-1.0,-1.0,-0.525
miserere,-0.2,-0.2,-0.2,-0.2
misericorde,0.025,0.025,0.025,0.025
misericordes,-0.125,-0.125,-0.125,-0.125
miseries,-1.0,-1.0,-1.0,-0.675
miserliness,-0.65,-0.65,-0.65,-0.65
miserly,-1.0,-1.0,-1.0,-0.35
misers,-0.375,-0.375,-0.375,-0.375
misery,-1.0,-1.0,-1.0,-0.675
misfit,-1.0,-1.0,-1.0,-1.0
misfortune,-1.0,-1.0,-1.0,-1.0
misgiving,-1.0,-1.0,-1.0,-0.35
misgivings,-1.0,-1.0,-1.0,-1.0
misguidance,-1.0,-1.0,-1.0,-1.0
misguide,-1.0,-1.0,-1.0,-1.0
misguided,-1.0,-1.0,-1.0,-1.0
mishandle,-1.0,-1.0,-1.0,-1.0
mishap,-1.0,-1.0,-1.0,-1.0
misinform,-1.0,-1.0,-1.0,-1.0
misinformation,-0.325,-0.325,-0.325,-0.325
misinformed,-1.0,-1.0,-1.0,-0.4
misinterpret,-1.0,-1.0,-1.0,-1.0
misinterpreted,-0.325,-0.325,-0.325,-0.325
misjudge,-1.0,-1.0,-1.0,-1.0
misjudgment,-1.0,-1.0,-1.0,-1.0
mislead,-1.0,-1.0,-1.0,-1.0
misleading,-1.0,-1.0,-1.0,-0.425
misleadingly,-1.0,-1.0,-1.0,-1.0
mislike,-1.0,-1.0,-1.0,-1.0
mismanage,-1.0,-1.0,-1.0,-1.0
mispronounce,-1.0,-1.0,-1.0,-1.0
mispronounced,-1.0,-1.0,-1.0,-1.0
mispronounces,-1.0,-1.0,-1.0,-1.0
misread,-1.0,-1.0,-1.0,-0.275
misreading,-1.0,-1.0,-1.0,-1.0
misreporting,-0.375,-0.375,-0.375,-0.375
misrepresent,-1.0,-1.0,-1.0,-1.0
misrepresentation,-1.0,-1.0,-1.0,-0.5
miss,-1.0,-1.0,-1.0,-0.15
missed,-0.65,-0.65,-1.0,-0.3
misses,-0.6125,-0.6125,-1.0,-0.225
missing,-0.3,-0.3,-0.3,-0.3
misstatement,-1.0,-1.0,-1.0,-1.0
mist,-1.0,-1.0,-1.0,-1.0
mistakable,-0.2,-0.2,-0.2,-0.2
mistake,-1.0,-1.0,-1.0,-0.35
mistaken,-1.0,-1.0,-1.0,-0.375
mistakenly,-1.0,-1.0,-1.0,-0.3
mistaker,-0.4,-0.4,-0.4,-0.4
mistakers,-0.4,-0.4,-0.4,-0.4
mistakes,-1.0,-1.0,-1.0,-0.375
mistaking,-0.275,-0.275,-0.275,-0.275
mistified,-1.0,-1.0,-1.0,-1.0
mistress,-1.0,-1.0,-1.0,-1.0
mistrust,-1.0,-1.0,-1.0,-1.0
mistrustful,-1.0,-1.0,-1.0,-1.0
mistrustfully,-1.0,-1.0,-1.0,-1.0
mists,-1.0,-1.0,-1.0,-1.0
misunderstand,-1.0,-1.0,-1.0,-0.375
misunderstanding,-1.0,-1.0,-1.0,-0.45
misunderstandings,-1.0,-1.0,-1.0,-1.0
misunderstands,-0.325,-0.325,-0.325,-0.325
misunderstood,-1.0,-1.0,-1.0,-0.35
misuse,-1.0,-1.0,-1.0,-1.0
mlm,-0.35,-0.35,-0.35,-0.35
mm,0.0,0.0,0.0,0.0
mmk,0.15,0.15,0.15,0.15
mml,0.5,0.5,0.5,0.5
moan,-1.0,-1.0,-1.0,-0.15
moaned,-0.1,-0.1,-0.1,-0.1
moaning,-0.1,-0.1,-0.1,-0.1
moans,-0.15,-0.15,-0.15,-0.15
mobster,-1.0,-1.0,-1.0,-1.0
mock,-1.0,-1.0,-1.0,-0.45
mocked,-0.6625,-0.6625,-1.0,-0.325
mocker,-0.2,-0.2,-0.2,-0.2
mockeries,-1.0,-1.0,-1.0,-0.4
mockers,-0.325,-0.325,-0.325,-0.325
mockery,-1.0,-1.0,-1.0,-0.325
mocking,-1.0,-1.0,-1.0,-0.425
mockingly,-1.0,-1.0,-1.0,-1.0
mocks,-0.75,-0.75,-1.0,-0.5
moderate,1.0,1.0,1.0,1.0
moderation,1.0,1.0,1.0,1.0
modern,1.0,1.0,1.0,1.0
modest,1.0,1.0,1.0,1.0
modesty,1.0,1.0,1.0,1.0
mofo,-0.6,-0.6,-0.6,-0.6
molest,-1.0,-1.0,-1.0,-0.525
molestation,-1.0,-1.0,-1.0,-0.475
molestations,-0.725,-0.725,-0.725,-0.725
molested,-0.475,-0.475,-0.475,-0.475
molester,-0.575,-0.575,-0.575,-0.575
molesters,-0.55,-0.55,-0.55,-0.55
molesting,-0.7,-0.7,-0.7,-0.7
molests,-0.775,-0.775,-0.775,-0.775
mollify,1.0,1.0,1.0,1.0
momentous,1.0,1.0,1.0,1.0
mongering,-0.2,-0.2,-0.2,-0.2
monopolize,-0.2,-0.2,-0.2,-0.2
monopolized,-0.225,-0.225,-0.225,-0.225
monopolizes,-0.275,-0.275,-0.275,-0.275
monopolizing,-0.125,-0.125,-0.125,-0.125
monotonous,-1.0,-1.0,-1.0,-1.0
monotony,-1.0,-1.0,-1.0,-1.0
monster,-1.0,-1.0,-1.0,-1.0
monstrosities,-1.0,-1.0,-1.0,-1.0
monstrosity,-1.0,-1.0,-1.0,-1.0
monstrous,-1.0,-1.0,-1.0,-1.0
monstrously,-1.0,-1.0,-1.0,-1.0
monumental,1.0,1.0,1.0,1.0
monumentally,1.0,1.0,1.0,1.0
mooch,-0.425,-0.425,-0.425,-0.425
mooched,-0.35,-0.35,-0.35,-0.35
moocher,-0.375,-0.375,-0.375,-0.375
moochers,-0.475,-0.475,-0.475,-0.475
mooches,-0.35,-0.35,-0.35,-0.35
mooching,-0.425,-0.425,-0.425,-0.425
moodier,-0.275,-0.275,-0.275,-0.275
moodiest,-0.525,-0.525,-0.525,-0.525
moodily,-0.325,-0.325,-0.325,-0.325
moodiness,-0.35,-0.35,-0.35,-0.35
moodinesses,-0.35,-0.35,-0.35,-0.35
moody,-1.0,-1.0,-1.0,-0.375
moon,-1.0,-1.0,-1.0,-1.0
moot,-1.0,-1.0,-1.0,-1.0
mope,-1.0,-1.0,-1.0,-0.475
moping,-0.25,-0.25,-0.25,-0.25
moral,1.0,1.0,1.0,1.0
morality,1.0,1.0,1.0,1.0
moralize,1.0,1.0,1.0,1.0
morbid,-1.0,-1.0,-1.0,-1.0
morbidly,-1.0,-1.0,-1.0,-1.0
mordant,-1.0,-1.0,-1.0,-1.0
mordantly,-1.0,-1.0,-1.0,-1.0
moreover,0.0,0.0,0.0,0.0
moribund,-1.0,-1.0,-1.0,-1.0
moron,-0.775,-0.775,-1.0,-0.55
moronic,-0.8375,-0.8375,-1.0,-0.675
moronically,-0.35,-0.35,-0.35,-0.35
moronity,-0.275,-0.275,-0.275,-0.275
morons,-0.6625,-0.6625,-1.0,-0.325
mortification,-1.0,-1.0,-1.0,-1.0
mortified,-1.0,-1.0,-1.0,-1.0
mortify,-1.0,-1.0,-1.0,-1.0
mortifying,-1.0,-1.0,-1.0,-1.0
most,0.0,0.0,0.0,0.0
mostly,0.0,0.0,0.0,0.0
motherfucker,-0.9,-0.9,-0.9,-0.9
motherfucking,-0.7,-0.7,-0.7,-0.7
motionless,-1.0,-1.0,-1.0,-1.0
motivate,1.0,1.0,0.7999999999999999,0.4
motivated,1.0,1.0,1.0,0.5
motivating,0.55,0.55,0.55,0.55
motivation,1.0,1.0,0.7833333333333333,0.35
motive,0.0,0.0,0.0,0.0
motley,-1.0,-1.0,-1.0,-1.0
mourn,-1.0,-1.0,-1.0,-0.45
mourned,-0.325,-0.325,-0.325,-0.325
mourner,-1.0,-1.0,-1.0,-0.4
mourners,-0.45,-0.45,-0.45,-0.45
mournful,-1.0,-1.0,-1.0,-0.4
mournfuller,-0.475,-0.475,-0.475,-0.475
mournfully,-1.0,-1.0,-1.0,-0.425
mournfulness,-0.45,-0.45,-0.45,-0.45
mourning,-0.475,-0.475,-0.475,-0.475
mourningly,-0.575,-0.575,-0.575,-0.575
mourns,-0.6,-0.6,-0.6,-0.6
move,0.0,0.0,0.0,0.0
moving,1.0,1.0,1.0,1.0
muah,0.6375,0.6375,0.6375,0.6375
mubar,-0.25,-0.25,-0.25,-0.25
much,0.0,0.0,0.0,0.0
muddle,-1.0,-1.0,-1.0,-1.0
muddy,-1.0,-1.0,-1.0,-1.0
mudslinger,-1.0,-1.0,-1.0,-1.0
mudslinging,-1.0,-1.0,-1.0,-1.0
mulish,-1.0,-1.0,-1.0,-1.0
multi-polarization,-1.0,-1.0,-1.0,-1.0
multi-purpose,1.0,1.0,1.0,1.0
mum,0.0,0.0,0.0,0.0
mumpish,-0.35,-0.35,-0.35,-0.35
mundane,-1.0,-1.0,-1.0,-1.0
murder,-1.0,-1.0,-1.0,-0.925
murdered,-0.85,-0.85,-0.85,-0.85
murderee,-0.8,-0.8,-0.8,-0.8
murderees,-0.775,-0.775,-0.775,-0.775
murderer,-0.95,-0.95,-1.0,-0.9
murderers,-0.825,-0.825,-0.825,-0.825
murderess,-0.55,-0.55,-0.55,-0.55
murderesses,-0.65,-0.65,-0.65,-0.65
murdering,-0.825,-0.825,-0.825,-0.825
murderous,-1.0,-1.0,-1.0,-0.8
murderously,-1.0,-1.0,-1.0,-0.775
murderousness,-0.725,-0.725,-0.725,-0.725
murders,-0.75,-0.75,-0.75,-0.75
murky,-1.0,-1.0,-1.0,-1.0
muscle-flexing,-1.0,-1.0,-1.0,-1.0
mushy,-1.0,-1.0,-1.0,-1.0
musm,0.225,0.225,0.225,0.225
must,0.0,0.0,0.0,0.0
musty,-1.0,-1.0,-1.0,-1.0
mwah,0.625,0.625,0.625,0.625
myriad,1.0,1.0,1.0,1.0
mysterious,-1.0,-1.0,-1.0,-1.0
mysteriously,-1.0,-1.0,-1.0,-1.0
mystery,-1.0,-1.0,-1.0,-1.0
mystify,-1.0,-1.0,-1.0,-1.0
myth,-1.0,-1.0,-1.0,-1.0
n00b,-0.4,-0.4,-0.4,-0.4
n1,0.475,0.475,0.475,0.475
nag,-1.0,-1.0,-1.0,-0.375
nagana,-0.425,-0.425,-0.425,-0.425
nagged,-0.425,-0.425,-0.425,-0.425
nagger,-0.45,-0.45,-0.45,-0.45
naggers,-0.375,-0.375,-0.375,-0.375
naggier,-0.35,-0.35,-0.35,-0.35
naggiest,-0.6,-0.6,-0.6,-0.6
nagging,-1.0,-1.0,-1.0,-0.425
naggingly,-0.225,-0.225,-0.225,-0.225
naggy,-0.425,-0.425,-0.425,-0.425
nags,-0.275,-0.275,-0.275,-0.275
nah,-0.1,-0.1,-0.1,-0.1
naive,-1.0,-1.0,-1.0,-0.275
naively,-1.0,-1.0,-1.0,-1.0
nap,0.0,0.0,0.0,0.0
narrow,-1.0,-1.0,-1.0,-1.0
narrower,-1.0,-1.0,-1.0,-1.0
nascent,0.0,0.0,0.0,0.0
nastic,0.05,0.05,0.05,0.05
nastier,-0.575,-0.575,-0.575,-0.575
nasties,-0.525,-0.525,-0.525,-0.525
nastiest,-0.6,-0.6,-0.6,-0.6
nastily,-1.0,-1.0,-1.0,-0.475
nastiness,-1.0,-1.0,-1.0,-0.275
nastinesses,-0.65,-0.65,-0.65,-0.65
nasturtium,0.1,0.1,0.1,0.1
nasturtiums,0.025,0.025,0.025,0.025
nasty,-1.0,-1.0,-1.0,-0.65
nationalism,-1.0,-1.0,-1.0,-1.0
natural,1.0,1.0,0.7916666666666666,0.375
naturally,1.0,1.0,1.0,1.0
nature,0.0,0.0,0.0,0.0
naughty,-1.0,-1.0,-1.0,-1.0
nauseate,-1.0,-1.0,-1.0,-1.0
nauseates,-1.0,-1.0,-1.0,-1.0
nauseating,-1.0,-1.0,-1.0,-1.0
nauseatingly,-1.0,-1.0,-1.0,-1.0
navigable,1.0,1.0,1.0,1.0
naïve,-1.0,-1.0,-1.0,-1.0
nbd,0.325,0.325,0.325,0.325
nbif,-0.125,-0.125,-0.125,-0.125
neat,1.0,1.0,1.0,0.5
neaten,0.3,0.3,0.3,0.3
neatened,0.5,0.5,0.5,0.5
neatening,0.325,0.325,0.325,0.325
neatens,0.275,0.275,0.275,0.275
neater,0.25,0.25,0.25,0.25
neatest,0.7125,0.7125,1.0,0.425
neath,0.05,0.05,0.05,0.05
neatherd,-0.1,-0.1,-0.1,-0.1
neatly,1.0,1.0,1.0,0.35
neatness,0.325,0.325,0.325,0.325
neats,0.275,0.275,0.275,0.275
nebulous,-1.0,-1.0,-1.0,-1.0
nebulously,-1.0,-1.0,-1.0,-1.0
necessarily,1.0,1.0,1.0,1.0
necessary,1.0,1.0,1.0,1.0
need,-0.5,-0.5,-0.5,-0.5
needful,0.0,0.0,0.0,0.0
needfully,0.0,0.0,0.0,0.0
needless,-1.0,-1.0,-1.0,-1.0
needlessly,-1.0,-1.0,-1.0,-1.0
needs,0.0,0.0,0.0,0.0
needy,-1.0,-1.0,-1.0,-0.35
nefarious,-1.0,-1.0,-1.0,-1.0
nefariously,-1.0,-1.0,-1.0,-1.0
negate,-1.0,-1.0,-1.0,-1.0
negation,-1.0,-1.0,-1.0,-1.0
negative,-1.0,-1.0,-1.0,-0.675
negatives,-1.0,-1.0,-1.0,-1.0
negativity,-0.7875,-0.7875,-1.0,-0.575
neglect,-1.0,-1.0,-1.0,-0.5
neglected,-1.0,-1.0,-1.0,-0.6
neglecter,-0.425,-0.425,-0.425,-0.425
neglecters,-0.375,-0.375,-0.375,-0.375
neglectful,-0.5,-0.5,-0.5,-0.5
neglectfully,-0.525,-0.525,-0.525,-0.525
neglectfulness,-0.5,-0.5,-0.5,-0.5
neglecting,-0.425,-0.425,-0.425,-0.425
neglects,-0.55,-0.55,-0.55,-0.55
negligence,-1.0,-1.0,-1.0,-1.0
negligent,-1.0,-1.0,-1.0,-1.0
negligible,-1.0,-1.0,-1.0,-1.0
nemesis,-1.0,-1.0,-1.0,-1.0
